Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[individual]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[xenograft]	Characteristics[xenograft host organism]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data Matrix File	Comment [ArrayExpress Data Matrix FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[individual]	Factor Value[cell line]	Factor Value[xenograft]
PDAC.08.X_9985134029_K	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.08.X_9985134029_K	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.08.X_9985134029_K	P-MTAB-47268	PDAC.08.X_9985134029_K:Biotin	Biotin	P-MTAB-47269	PDAC.08.X_9985134029_K:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.08.X_9985134029_K	  	patient-derived xenograft
PDAC.09.X_9985134029_L	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.09.X_9985134029_L	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.09.X_9985134029_L	P-MTAB-47268	PDAC.09.X_9985134029_L:Biotin	Biotin	P-MTAB-47269	PDAC.09.X_9985134029_L:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.09.X_9985134029_L	  	patient-derived xenograft
PDAC.11.X_101178090096_L	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.11.X_101178090096_L	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.11.X_101178090096_L	P-MTAB-47268	PDAC.11.X_101178090096_L:Biotin	Biotin	P-MTAB-47269	PDAC.11.X_101178090096_L:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.11.X_101178090096_L	  	patient-derived xenograft
PDAC.12.X_100965680046_A	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.12.X_100965680046_A	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.12.X_100965680046_A	P-MTAB-47268	PDAC.12.X_100965680046_A:Biotin	Biotin	P-MTAB-47269	PDAC.12.X_100965680046_A:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.12.X_100965680046_A	  	patient-derived xenograft
PDAC.13.X_100965680046_C	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.13.X_100965680046_C	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.13.X_100965680046_C	P-MTAB-47268	PDAC.13.X_100965680046_C:Biotin	Biotin	P-MTAB-47269	PDAC.13.X_100965680046_C:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.13.X_100965680046_C	  	patient-derived xenograft
PDAC.14.X_101178090096_F	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.14.X_101178090096_F	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.14.X_101178090096_F	P-MTAB-47268	PDAC.14.X_101178090096_F:Biotin	Biotin	P-MTAB-47269	PDAC.14.X_101178090096_F:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.14.X_101178090096_F	  	patient-derived xenograft
PDAC.15.X_100965680046_F	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.15.X_100965680046_F	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.15.X_100965680046_F	P-MTAB-47268	PDAC.15.X_100965680046_F:Biotin	Biotin	P-MTAB-47269	PDAC.15.X_100965680046_F:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.15.X_100965680046_F	  	patient-derived xenograft
PDAC.16.X_100965680046_L	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.16.X_100965680046_L	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.16.X_100965680046_L	P-MTAB-47268	PDAC.16.X_100965680046_L:Biotin	Biotin	P-MTAB-47269	PDAC.16.X_100965680046_L:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.16.X_100965680046_L	  	patient-derived xenograft
PDAC.17.X_100965680046_D	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.17.X_100965680046_D	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.17.X_100965680046_D	P-MTAB-47268	PDAC.17.X_100965680046_D:Biotin	Biotin	P-MTAB-47269	PDAC.17.X_100965680046_D:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.17.X_100965680046_D	  	patient-derived xenograft
PT10_6142069131_B	Homo sapiens	pancreatic ductal adenocarcinoma	PT10_6142069131_B	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	PT10_6142069131_B	P-MTAB-47268	PT10_6142069131_B:Biotin	Biotin	P-MTAB-47269	PT10_6142069131_B:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PT10_6142069131_B	  	patient-derived xenograft
PT10_6142069131_C	Homo sapiens	pancreatic ductal adenocarcinoma	PT10_6142069131_C	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	PT10_6142069131_C	P-MTAB-47268	PT10_6142069131_C:Biotin	Biotin	P-MTAB-47269	PT10_6142069131_C:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PT10_6142069131_C	  	patient-derived xenograft
PT14_6247207005_J	Homo sapiens	pancreatic ductal adenocarcinoma	PT14_6247207005_J	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	PT14_6247207005_J	P-MTAB-47268	PT14_6247207005_J:Biotin	Biotin	P-MTAB-47269	PT14_6247207005_J:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PT14_6247207005_J	  	patient-derived xenograft
PT17_6247207002_B	Homo sapiens	pancreatic ductal adenocarcinoma	PT17_6247207002_B	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	PT17_6247207002_B	P-MTAB-47268	PT17_6247207002_B:Biotin	Biotin	P-MTAB-47269	PT17_6247207002_B:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PT17_6247207002_B	  	patient-derived xenograft
PT18_6247207002_A	Homo sapiens	pancreatic ductal adenocarcinoma	PT18_6247207002_A	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	PT18_6247207002_A	P-MTAB-47268	PT18_6247207002_A:Biotin	Biotin	P-MTAB-47269	PT18_6247207002_A:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PT18_6247207002_A	  	patient-derived xenograft
PT19_6235804021_A	Homo sapiens	pancreatic ductal adenocarcinoma	PT19_6235804021_A	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	PT19_6235804021_A	P-MTAB-47268	PT19_6235804021_A:Biotin	Biotin	P-MTAB-47269	PT19_6235804021_A:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PT19_6235804021_A	  	patient-derived xenograft
PT2_6142069131_E	Homo sapiens	pancreatic ductal adenocarcinoma	PT2_6142069131_E	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	PT2_6142069131_E	P-MTAB-47268	PT2_6142069131_E:Biotin	Biotin	P-MTAB-47269	PT2_6142069131_E:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PT2_6142069131_E	  	patient-derived xenograft
PT7_6142069131_A	Homo sapiens	pancreatic ductal adenocarcinoma	PT7_6142069131_A	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	PT7_6142069131_A	P-MTAB-47268	PT7_6142069131_A:Biotin	Biotin	P-MTAB-47269	PT7_6142069131_A:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PT7_6142069131_A	  	patient-derived xenograft
PT9_6142069131_F	Homo sapiens	pancreatic ductal adenocarcinoma	PT9_6142069131_F	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	PT9_6142069131_F	P-MTAB-47268	PT9_6142069131_F:Biotin	Biotin	P-MTAB-47269	PT9_6142069131_F:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PT9_6142069131_F	  	patient-derived xenograft
